,发表时间,转发数量,内容,点赞数,评论数
0,08-09,391862,"时代少年团超话💥#时代少年团二辑《象》#
【舞·象·之·年】第二篇章《象》
- Time Table -
时间往前，少年成长
宣言仍无惧，冒险亦无畏
而此刻，新的篇章将开启——
@时代少年团队长-马嘉祺
@时代少年团-丁程鑫
@时代少年团-宋亚轩
@时代少年团-刘耀文
@时代少年团-张真源
...全文",362417,36713
1,08-08,9851,时代少年团超话 少年成长ing的模样，让未来开始有了形状关于自己，关于过往，关于梦想，更多精彩请关注@博客天下,173536,9773
2,08-07,25922,"时代少年团超话💥#爱豆v力量#
TNT《回到夏天》拍摄花絮
穿过时间
回到夏天
成长如期而至
乐声延绵不绝
而故事，也在继续书写 时代少年团的微博视频",256893,27006
3,08-06,80332,"时代少年团超话 💥#爱豆v力量#

夏天总会让人成长
但夏天的故事从来没有答案 时代少年团的微博视频",358327,48502
4,08-05,32014,"时代少年团超话💥#爱豆v力量#
又来海边
又到夏天
海风吹过来的时候
我们也看向彼此
那就，一起去更远吧💥",316423,32355
5,08-04,55979,"时代少年团超话💥#爱豆v力量#
TNT《少年•平行的夏》之一 拍摄花絮
少年人的夏
热血远比午后阳光滚烫

擦破皮肤带来细密痛感
汗水滴落 蒸发
伤疤减淡 消失

还好记忆被留下 时代少年团的微博视频",330729,48080
6,07-31,47666,"时代少年团超话💥#爱豆v力量#
关于夏天是从什么记忆开始的

是清晨花房加了柠檬的桃子乌龙
是傍晚音像店与旋律的不期而遇
或者是午夜超市里快要过期的凤梨罐头

那一刻彼此对视的我们
像一首歌
快进
播放
暂停

和我们一起 回到夏天 吧

（完整版于8.6日上线） 时代少年团的微博视频",302043,27826
7,07-31,0,时代少年团超话 TNT-Photo Book企划《少年》Vol 3-少年·平行的夏（Summer Stories）,0,0
8,07-28,43198,"时代少年团超话💞#爱豆能量月# 一起去冒险吧～靠近梦想中的舞台，一起尖叫，呐喊，然后逛遍无尽的宇宙

TNT-上海记录Vlog 时代少年团的微博视频",355829,45262
9,07-25,10757,时代少年团超话 闪耀在少年眼前的星光是什么模样将由你们来决定，爆米花们参与起来吧[加油],195138,11704
10,07-22,22752,"时代少年团超话💥#爱豆能量月#
课堂版杀人游戏，看谁的眼神锁定你 命题表演之“跟椅子长在一起”，且看少年们如何机智破解 时代少年团的微博视频",308064,32377
11,07-21,23167,时代少年团超话 相逢有时，冒险无尽，以少年之心，诠释青春态度。今晚22：00#东方风云榜# ，准时守候少年们《无尽的冒险》@动感101 @东方卫视番茄台,243976,17322
12,07-20,32044,"时代少年团超话💥#爱豆能量月#
TNT《德克士拍摄花絮》

发布一则好消息，候场的少年们终于有了新游戏！原来快乐可以如此简单呢 时代少年团的微博视频",290362,29229
13,07-19,29670,"时代少年团超话💥#爱豆能量月#
满满的感动就算想在眼里藏起来，也会忍不住从手里伸出来",307861,26024
14,07-19,22223,时代少年团超话 风从东方来，云起少年时，携澄澈之心而来，映无尽星光。今晚时代少年团《无尽的冒险》#东方风云榜# @动感101,258033,23591
15,07-17,14888,时代少年团超话 少年，就要有一往无前的勇气，和一腔热忱的拼劲！时代少年团，就犟！#时代少年团 就犟# #就犟就爆#,174570,10003
16,07-16,32783,"时代少年团超话💥#爱豆能量月#
今天这里清静了些，慢慢会好的，送给你们",401690,40749
